,best
adjunct_island,0.487
superlative_quantifiers_2,0.315
anaphor_gender_agreement,0.52
tough_vs_raising_1,0.488
anaphor_number_agreement,0.516
tough_vs_raising_2,0.546
animate_subject_passive,0.54
wh_questions_subject_gap,0.954
animate_subject_trans,0.401
causative,0.466
wh_vs_that_no_gap,0.959
complex_NP_island,0.457
coordinate_structure_constraint_complex_left_branch,0.4
left_branch_island_echo_question,0.692
coordinate_structure_constraint_object_extraction,0.303
transitive,0.59
determiner_noun_agreement_1,0.519
wh_island,0.964
determiner_noun_agreement_2,0.485
only_npi_scope,0.086
determiner_noun_agreement_irregular_1,0.466
passive_1,0.579
determiner_noun_agreement_irregular_2,0.529
principle_A_domain_1,1.0
determiner_noun_agreement_with_adj_2,0.488
left_branch_island_simple_question,0.44
determiner_noun_agreement_with_adj_irregular_1,0.489
matrix_question_npi_licensor_present,0.055
determiner_noun_agreement_with_adj_irregular_2,0.533
npi_present_1,0.338
determiner_noun_agreement_with_adjective_1,0.492
principle_A_domain_2,0.481
distractor_agreement_relational_noun,0.439
principle_A_domain_3,0.505
distractor_agreement_relative_clause,0.501
drop_argument,0.437
wh_vs_that_with_gap,0.086
ellipsis_n_bar_1,0.203
ellipsis_n_bar_2,0.431
principle_A_reconstruction,0.257
existential_there_object_raising,0.692
regular_plural_subject_verb_agreement_1,0.491
existential_there_quantifiers_1,0.724
regular_plural_subject_verb_agreement_2,0.466
existential_there_quantifiers_2,0.218
sentential_negation_npi_licensor_present,0.999
existential_there_subject_raising,0.575
wh_questions_object_gap,0.548
expletive_it_object_raising,0.619
inchoative,0.385
intransitive,0.423
sentential_negation_npi_scope,0.777
irregular_past_participle_adjectives,0.236
sentential_subject_island,0.484
irregular_past_participle_verbs,0.674
npi_present_2,0.273
irregular_plural_subject_verb_agreement_1,0.526
only_npi_licensor_present,0.0
irregular_plural_subject_verb_agreement_2,0.543
passive_2,0.5
principle_A_c_command,0.595
principle_A_case_1,1.0
principle_A_case_2,0.433
superlative_quantifiers_1,0.498
wh_questions_subject_gap_long_distance,0.934
wh_vs_that_no_gap_long_distance,0.948
wh_vs_that_with_gap_long_distance,0.095
