,best
adjunct_island,0.567
anaphor_gender_agreement,0.701
anaphor_number_agreement,0.635
animate_subject_passive,0.552
animate_subject_trans,0.612
causative,0.44
complex_NP_island,0.609
coordinate_structure_constraint_complex_left_branch,0.237
coordinate_structure_constraint_object_extraction,0.548
determiner_noun_agreement_1,0.517
determiner_noun_agreement_2,0.487
determiner_noun_agreement_irregular_1,0.519
determiner_noun_agreement_irregular_2,0.573
determiner_noun_agreement_with_adj_2,0.483
determiner_noun_agreement_with_adj_irregular_1,0.541
determiner_noun_agreement_with_adj_irregular_2,0.521
determiner_noun_agreement_with_adjective_1,0.501
distractor_agreement_relational_noun,0.476
distractor_agreement_relative_clause,0.47
drop_argument,0.558
ellipsis_n_bar_1,0.394
ellipsis_n_bar_2,0.488
existential_there_object_raising,0.686
existential_there_quantifiers_1,0.805
existential_there_quantifiers_2,0.063
existential_there_subject_raising,0.551
expletive_it_object_raising,0.642
inchoative,0.427
intransitive,0.454
irregular_past_participle_adjectives,0.81
irregular_past_participle_verbs,0.758
irregular_plural_subject_verb_agreement_1,0.514
irregular_plural_subject_verb_agreement_2,0.534
left_branch_island_echo_question,0.597
left_branch_island_simple_question,0.33
matrix_question_npi_licensor_present,0.007
npi_present_1,0.343
npi_present_2,0.275
only_npi_licensor_present,0.105
only_npi_scope,0.079
passive_1,0.535
passive_2,0.5
principle_A_c_command,0.399
principle_A_case_1,1.0
principle_A_case_2,0.414
principle_A_domain_1,0.945
principle_A_domain_2,0.507
principle_A_domain_3,0.502
principle_A_reconstruction,0.384
regular_plural_subject_verb_agreement_1,0.575
regular_plural_subject_verb_agreement_2,0.479
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.643
sentential_subject_island,0.572
superlative_quantifiers_1,0.346
superlative_quantifiers_2,0.529
tough_vs_raising_1,0.458
tough_vs_raising_2,0.592
transitive,0.587
wh_island,0.948
wh_questions_object_gap,0.384
wh_questions_subject_gap,0.576
wh_questions_subject_gap_long_distance,0.624
wh_vs_that_no_gap,0.861
wh_vs_that_no_gap_long_distance,0.907
wh_vs_that_with_gap,0.195
wh_vs_that_with_gap_long_distance,0.15
