,best
adjunct_island,0.58
anaphor_gender_agreement,0.706
anaphor_number_agreement,0.63
animate_subject_passive,0.543
animate_subject_trans,0.602
causative,0.434
complex_NP_island,0.608
coordinate_structure_constraint_complex_left_branch,0.223
coordinate_structure_constraint_object_extraction,0.557
determiner_noun_agreement_1,0.522
determiner_noun_agreement_2,0.492
determiner_noun_agreement_irregular_1,0.535
determiner_noun_agreement_irregular_2,0.592
determiner_noun_agreement_with_adj_2,0.483
determiner_noun_agreement_with_adj_irregular_1,0.554
determiner_noun_agreement_with_adj_irregular_2,0.524
determiner_noun_agreement_with_adjective_1,0.497
distractor_agreement_relational_noun,0.462
distractor_agreement_relative_clause,0.466
drop_argument,0.542
ellipsis_n_bar_1,0.411
ellipsis_n_bar_2,0.495
existential_there_object_raising,0.684
existential_there_quantifiers_1,0.825
existential_there_quantifiers_2,0.13
existential_there_subject_raising,0.55
expletive_it_object_raising,0.649
inchoative,0.43
intransitive,0.451
irregular_past_participle_adjectives,0.836
irregular_past_participle_verbs,0.743
irregular_plural_subject_verb_agreement_1,0.537
irregular_plural_subject_verb_agreement_2,0.538
left_branch_island_echo_question,0.592
left_branch_island_simple_question,0.316
matrix_question_npi_licensor_present,0.007
npi_present_1,0.321
npi_present_2,0.243
only_npi_licensor_present,0.084
only_npi_scope,0.088
passive_1,0.537
passive_2,0.516
principle_A_c_command,0.436
principle_A_case_1,1.0
principle_A_case_2,0.423
principle_A_domain_1,0.944
principle_A_domain_2,0.481
principle_A_domain_3,0.497
principle_A_reconstruction,0.377
regular_plural_subject_verb_agreement_1,0.57
regular_plural_subject_verb_agreement_2,0.493
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.66
sentential_subject_island,0.589
superlative_quantifiers_1,0.35
superlative_quantifiers_2,0.525
tough_vs_raising_1,0.453
tough_vs_raising_2,0.596
transitive,0.587
wh_island,0.932
wh_questions_object_gap,0.378
wh_questions_subject_gap,0.617
wh_questions_subject_gap_long_distance,0.667
wh_vs_that_no_gap,0.856
wh_vs_that_no_gap_long_distance,0.907
wh_vs_that_with_gap,0.204
wh_vs_that_with_gap_long_distance,0.149
